film_id,accuracy,precision,recall,f1
1950186,0.9548872180451128,0.9612403100775194,0.992,0.9763779527559056
1951261,0.576271186440678,0.3888888888888889,0.15217391304347827,0.21875000000000003
1951264,0.8341463414634146,0.8382352941176471,0.9941860465116279,0.9095744680851063
1959490,0.5148514851485149,0.2916666666666667,0.1794871794871795,0.22222222222222224
1979320,0.9509803921568627,0.9509803921568627,1.0,0.9748743718592965
1981115,0.7647058823529411,0.7771739130434783,0.9794520547945206,0.8666666666666668
2015381,0.9021739130434783,0.9021739130434783,1.0,0.9485714285714286
2024469,0.7709923664122137,0.7751937984496124,0.9900990099009901,0.8695652173913044
2024544,0.927536231884058,0.9271844660194175,1.0,0.9622166246851386
2084970,0.9365853658536586,0.9362745098039216,1.0,0.9670886075949368
2096673,0.9256198347107438,0.9256198347107438,1.0,0.9613733905579399
2103281,0.8775510204081632,0.8775510204081632,1.0,0.9347826086956522
2109248,0.5865384615384616,0.5849056603773585,0.5961538461538461,0.5904761904761905
2119532,0.9440993788819876,0.9440993788819876,1.0,0.9712460063897763
2179136,0.773972602739726,0.7943262411347518,0.9655172413793104,0.8715953307392997
2194499,0.8660714285714286,0.8660714285714286,1.0,0.9282296650717704
2250912,0.7983193277310925,0.811965811965812,0.979381443298969,0.8878504672897196
2267998,0.9087136929460581,0.9087136929460581,1.0,0.9521739130434783
2278388,0.8978494623655914,0.8978494623655914,1.0,0.9461756373937676
2294629,0.849624060150376,0.849624060150376,1.0,0.9186991869918699
2302755,0.6339869281045751,0.6716417910447762,0.8823529411764706,0.7627118644067797
2334879,0.5686274509803921,0.6153846153846154,0.7741935483870968,0.6857142857142857
2379713,0.7218045112781954,0.7209302325581395,0.9893617021276596,0.8340807174887891
2381249,0.8828828828828829,0.8828828828828829,1.0,0.937799043062201
2395427,0.8322981366459627,0.8354430379746836,0.9924812030075187,0.9072164948453608
2488496,0.9065934065934066,0.9065934065934066,1.0,0.9510086455331412
2543164,0.8611111111111112,0.8611111111111112,1.0,0.9253731343283582
2562232,0.7865853658536586,0.7962962962962963,0.9847328244274809,0.8805460750853241
2582802,0.9424083769633508,0.9523809523809523,0.989010989010989,0.9703504043126684
2582846,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353
2584384,0.9134615384615384,0.9111111111111111,0.9879518072289156,0.9479768786127168
2713180,0.8827586206896552,0.8827586206896552,1.0,0.9377289377289377
2737304,0.5882352941176471,0.627906976744186,0.84375,0.72
2802144,0.8827160493827161,0.8827160493827161,1.0,0.937704918032787
2820852,0.6991150442477876,0.7314814814814815,0.9404761904761905,0.8229166666666666
2872718,0.896774193548387,0.896774193548387,1.0,0.945578231292517
2872732,0.49640287769784175,0.5360824742268041,0.6753246753246753,0.5977011494252873
2911666,0.6953125,0.717948717948718,0.9333333333333333,0.8115942028985509
2975590,0.6111111111111112,0.6490066225165563,0.8521739130434782,0.736842105263158
2980516,0.9142857142857143,0.9142857142857143,1.0,0.955223880597015
3076658,0.8818181818181818,0.8899082568807339,0.9897959183673469,0.9371980676328503
3170832,0.9492753623188406,0.9492753623188406,1.0,0.9739776951672863
3263904,0.8833333333333333,0.8983050847457628,0.9814814814814815,0.9380530973451328
3315342,0.9096774193548387,0.9096774193548387,1.0,0.9527027027027027
3397884,0.8118811881188119,0.82,0.9879518072289156,0.8961748633879781
3460252,0.8950617283950617,0.8950617283950617,1.0,0.9446254071661238
3498820,0.8875,0.8875,1.0,0.9403973509933775
3501632,0.8648648648648649,0.8727272727272727,0.9896907216494846,0.9275362318840581
3659388,0.9047619047619048,0.9047619047619048,1.0,0.9500000000000001
3682448,0.8849557522123894,0.8849557522123894,1.0,0.9389671361502347
3741834,0.9320388349514563,0.9320388349514563,1.0,0.9648241206030151
3748528,0.8706896551724138,0.8706896551724138,1.0,0.9308755760368664
3783958,0.888235294117647,0.888235294117647,1.0,0.940809968847352
3890160,0.8439716312056738,0.8489208633093526,0.9915966386554622,0.9147286821705427
3896198,0.8532110091743119,0.8532110091743119,1.0,0.9207920792079208
4034228,0.8490566037735849,0.8557692307692307,0.9888888888888889,0.9175257731958762
4154664,0.7450980392156863,0.7450980392156863,1.0,0.8539325842696629
4154756,0.9300699300699301,0.9300699300699301,1.0,0.963768115942029
4154796,0.9125,0.9125,1.0,0.9542483660130718
4972582,0.7983870967741935,0.8421052631578947,0.9320388349514563,0.8847926267281107
5013056,0.8435754189944135,0.8435754189944135,1.0,0.9151515151515153
5027774,0.926829268292683,0.926829268292683,1.0,0.9620253164556963
5052448,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091
5463162,0.8725490196078431,0.8725490196078431,1.0,0.9319371727748691
6320628,0.8514851485148515,0.8514851485148515,1.0,0.9197860962566845
6644200,0.8157894736842105,0.8141592920353983,1.0,0.8975609756097562
6751668,0.9489795918367347,0.9481865284974094,1.0,0.973404255319149
6966692,0.9537037037037037,0.9537037037037037,1.0,0.976303317535545
7131622,0.8143712574850299,0.8209876543209876,0.9851851851851852,0.8956228956228957
7286456,0.9461279461279462,0.9459459459459459,1.0,0.9722222222222222
7653254,0.9047619047619048,0.9019607843137255,1.0,0.9484536082474228
8367814,0.9411764705882353,0.9407407407407408,1.0,0.9694656488549619
8579674,0.964516129032258,0.9638157894736842,1.0,0.9815745393634842
8946378,0.9230769230769231,0.9230769230769231,1.0,0.9600000000000001
